Data from Lab 3 circulation 1 (step 16)_Units14_14-53-23-670.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: USB2+F01134
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Time
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
14:53:23.669	1479412403669	0.15
14:53:34.676	1479412414676	0.15
14:53:45.673	1479412425673	0.15
14:53:56.670	1479412436670	0.15
14:54:07.678	1479412447678	0.16
14:54:18.664	1479412458664	0.15
14:54:29.671	1479412469671	0.14
14:54:40.667	1479412480667	0.14
14:54:51.669	1479412491669	0.15
14:55:02.666	1479412502666	0.14
14:55:13.669	1479412513669	0.14
14:55:24.659	1479412524659	0.15
14:55:35.655	1479412535655	0.14
14:55:46.664	1479412546664	0.13
14:55:57.654	1479412557654	0.14
14:56:08.658	1479412568658	0.15
14:56:19.653	1479412579653	0.14
14:56:30.648	1479412590648	0.13
14:56:41.657	1479412601657	0.14
14:56:52.650	1479412612650	0.15
14:57:03.643	1479412623643	0.15
14:57:14.643	1479412634643	0.15
14:57:25.645	1479412645645	0.14
14:57:36.642	1479412656642	0.14
14:57:47.641	1479412667641	0.15
14:57:58.636	1479412678636	0.15
14:58:09.641	1479412689641	0.14
14:58:20.641	1479412700641	0.14
14:58:31.634	1479412711634	0.14
14:58:42.632	1479412722632	0.15
14:58:53.644	1479412733644	0.14
14:59:04.641	1479412744641	0.15
14:59:15.633	1479412755633	0.15
14:59:26.628	1479412766628	0.15
14:59:37.632	1479412777632	0.15
14:59:48.635	1479412788635	0.15
14:59:59.632	1479412799632	0.15
15:00:10.621	1479412810621	0.14
15:00:21.621	1479412821621	0.15
15:00:32.620	1479412832620	0.15
15:00:43.633	1479412843633	0.15
15:00:54.621	1479412854621	0.15
15:01:05.621	1479412865621	0.15
15:01:16.615	1479412876615	0.15
15:01:27.623	1479412887623	0.15
15:01:38.616	1479412898616	0.15
15:01:49.625	1479412909625	0.15
15:02:00.616	1479412920616	0.15
15:02:11.621	1479412931621	0.16
15:02:22.614	1479412942614	0.16
15:02:33.611	1479412953611	0.16
15:02:44.612	1479412964612	0.16
15:02:55.610	1479412975610	0.15
15:03:06.616	1479412986616	0.15
15:03:17.603	1479412997603	0.15
15:03:28.613	1479413008613	0.16
15:03:39.601	1479413019601	0.16
15:03:50.613	1479413030613	0.17
15:04:01.609	1479413041609	0.16
15:04:12.602	1479413052602	0.17
15:04:23.606	1479413063606	0.17
15:04:34.604	1479413074604	0.16
15:04:45.598	1479413085598	0.16
15:04:56.607	1479413096607	0.15
15:05:07.592	1479413107592	0.15
15:05:18.598	1479413118598	0.16
15:05:29.593	1479413129593	0.15
15:05:40.594	1479413140594	0.16
15:05:51.599	1479413151599	0.16
15:06:02.592	1479413162592	0.16
15:06:13.588	1479413173588	0.15
15:06:24.597	1479413184597	0.16
15:06:35.590	1479413195590	0.16
15:06:46.596	1479413206596	0.17
15:06:57.593	1479413217593	0.17
15:07:08.584	1479413228584	0.15
15:07:19.583	1479413239583	0.16
15:07:30.580	1479413250580	0.16
15:07:41.581	1479413261581	0.16
15:07:52.579	1479413272579	0.16
15:08:03.584	1479413283584	0.17
15:08:14.580	1479413294580	0.17
15:08:25.579	1479413305579	0.17
15:08:36.576	1479413316576	0.17
15:08:47.583	1479413327583	0.16
15:08:58.572	1479413338572	0.17
15:09:09.576	1479413349576	0.16
15:09:20.568	1479413360568	0.16
15:09:31.567	1479413371567	0.16
15:09:42.576	1479413382576	0.17
15:09:53.570	1479413393570	0.17
15:10:04.564	1479413404564	0.17
15:10:15.564	1479413415564	0.17
15:10:26.569	1479413426569	0.17
15:10:37.570	1479413437570	0.16
15:10:48.568	1479413448568	0.15
15:10:59.562	1479413459562	0.17
15:11:10.556	1479413470556	0.16
15:11:21.568	1479413481568	0.15
15:11:32.563	1479413492563	0.17
15:11:43.554	1479413503554	0.18
15:11:54.555	1479413514555	0.17
15:12:05.551	1479413525551	0.17
15:12:16.562	1479413536562	0.17
15:12:27.562	1479413547562	0.17
15:12:38.561	1479413558561	0.16
15:12:49.553	1479413569553	0.17
15:13:00.557	1479413580557	0.17
15:13:11.558	1479413591558	0.17
15:13:22.555	1479413602555	0.17
15:13:33.551	1479413613551	0.17
15:13:44.545	1479413624545	0.17
15:13:55.541	1479413635541	0.16
15:14:06.541	1479413646541	0.17
15:14:17.547	1479413657547	0.18
15:14:28.549	1479413668549	0.18
15:14:39.547	1479413679547	0.18
15:14:50.543	1479413690543	0.17
15:15:01.536	1479413701536	0.18
15:15:12.538	1479413712538	0.18
15:15:23.543	1479413723543	0.18
15:15:34.531	1479413734531	0.18
15:15:45.535	1479413745535	0.18
15:15:56.538	1479413756538	0.18
15:16:07.536	1479413767536	0.18
15:16:18.536	1479413778536	0.19
15:16:29.533	1479413789533	0.18
15:16:40.523	1479413800523	0.19
15:16:51.529	1479413811529	0.18
15:17:02.522	1479413822522	0.18
15:17:13.520	1479413833520	0.17
15:17:24.532	1479413844532	0.18
15:17:35.522	1479413855522	0.18
15:17:46.530	1479413866530	0.18
15:17:57.526	1479413877526	0.19
15:18:08.525	1479413888525	0.19
15:18:19.513	1479413899513	0.18
15:18:30.527	1479413910527	0.19
15:18:41.520	1479413921520	0.19
15:18:52.516	1479413932516	0.19
15:19:03.516	1479413943516	0.17
15:19:14.515	1479413954515	0.18
15:19:25.517	1479413965517	0.18
15:19:36.507	1479413976507	0.18
15:19:47.512	1479413987512	0.19
15:19:58.512	1479413998512	0.19
15:20:09.513	1479414009513	0.19
15:20:20.515	1479414020515	0.19
15:20:31.514	1479414031514	0.19
15:20:42.508	1479414042508	0.18
15:20:53.501	1479414053501	0.19
15:21:04.505	1479414064505	0.18
15:21:15.509	1479414075509	0.19
15:21:26.508	1479414086508	0.19
15:21:37.502	1479414097502	0.19
15:21:48.503	1479414108503	0.19
15:21:59.502	1479414119502	0.19
15:22:10.499	1479414130499	0.19
15:22:21.500	1479414141500	0.18
15:22:32.497	1479414152497	0.19
15:22:43.494	1479414163494	0.2
15:22:54.493	1479414174493	0.19
15:23:05.498	1479414185498	0.19
15:23:16.494	1479414196494	0.2
15:23:27.494	1479414207494	0.18
15:23:38.483	1479414218483	0.19
15:23:49.479	1479414229479	0.2
15:24:00.486	1479414240486	0.2
15:24:11.483	1479414251483	0.2
15:24:22.487	1479414262487	0.19
15:24:33.486	1479414273486	0.19
15:24:44.474	1479414284474	0.2
15:24:55.480	1479414295480	0.2
15:25:06.486	1479414306486	0.2
15:25:17.474	1479414317474	0.2
15:25:28.477	1479414328477	0.2
15:25:39.476	1479414339476	0.19
15:25:50.475	1479414350475	0.19
15:26:01.467	1479414361467	0.19
15:26:12.473	1479414372473	0.19
15:26:23.474	1479414383474	0.2
15:26:34.463	1479414394463	0.2
15:26:45.476	1479414405476	0.2
15:26:56.472	1479414416472	0.19
15:27:07.466	1479414427466	0.19
15:27:18.469	1479414438469	0.19
15:27:29.471	1479414449471	0.2
15:27:40.470	1479414460470	0.2
15:27:51.467	1479414471467	0.2
15:28:02.455	1479414482455	0.2
15:28:13.465	1479414493465	0.2
15:28:24.462	1479414504462	0.2
15:28:35.461	1479414515461	0.21
15:28:46.452	1479414526452	0.2
15:28:57.456	1479414537456	0.21
15:29:08.450	1479414548450	0.2
15:29:19.452	1479414559452	0.2
15:29:30.445	1479414570445	0.2
15:29:41.450	1479414581450	0.2
15:29:52.444	1479414592444	0.2
15:30:03.455	1479414603455	0.21
15:30:14.453	1479414614453	0.21
15:30:25.442	1479414625442	0.2
15:30:36.445	1479414636445	0.22
15:30:47.447	1479414647447	0.21
15:30:58.449	1479414658449	0.21
15:31:09.448	1479414669448	0.21
15:31:20.441	1479414680441	0.2
15:31:31.439	1479414691439	0.2
15:31:42.438	1479414702438	0.2
15:31:53.437	1479414713437	0.21
15:32:04.435	1479414724435	0.21
15:32:15.430	1479414735430	0.2
15:32:26.439	1479414746439	0.2
15:32:37.430	1479414757430	0.22
15:32:48.436	1479414768436	0.2
15:32:59.429	1479414779429	0.22
15:33:10.424	1479414790424	0.2
15:33:21.431	1479414801431	0.21
15:33:32.424	1479414812424	0.21
15:33:43.431	1479414823431	0.2
15:33:54.426	1479414834426	0.21
15:34:05.428	1479414845428	0.21
15:34:16.421	1479414856421	0.2
15:34:27.419	1479414867419	0.21
15:34:38.417	1479414878417	0.21
15:34:49.415	1479414889415	0.21
15:35:00.423	1479414900423	0.21
15:35:11.425	1479414911425	0.2
15:35:22.418	1479414922418	0.21
15:35:33.422	1479414933422	0.21
15:35:44.412	1479414944412	0.22
15:35:55.422	1479414955422	0.22
15:36:06.419	1479414966419	0.21
15:36:17.409	1479414977409	0.21
15:36:28.414	1479414988414	0.22
15:36:39.413	1479414999413	0.21
15:36:50.407	1479415010407	0.23
15:37:01.412	1479415021412	0.22
15:37:12.411	1479415032411	0.21
15:37:23.401	1479415043401	0.21
15:37:34.397	1479415054397	0.22
15:37:45.410	1479415065410	0.21
15:37:56.401	1479415076401	0.22
15:38:07.409	1479415087409	0.22
15:38:18.395	1479415098395	0.21
15:38:29.406	1479415109406	0.22
15:38:40.405	1479415120405	0.22
15:38:51.396	1479415131396	0.22
15:39:02.398	1479415142398	0.22
15:39:13.395	1479415153395	0.21
15:39:24.391	1479415164391	0.23
15:39:35.394	1479415175394	0.22
15:39:46.386	1479415186386	0.21
15:39:57.393	1479415197393	0.22
15:40:08.392	1479415208392	0.22
15:40:19.382	1479415219382	0.22
15:40:30.384	1479415230384	0.23
15:40:41.391	1479415241391	0.22
15:40:52.382	1479415252382	0.21
15:41:03.389	1479415263389	0.23
15:41:14.388	1479415274388	0.22
15:41:25.389	1479415285389	0.23
15:41:36.380	1479415296380	0.22
15:41:47.377	1479415307377	0.22
15:41:58.375	1479415318375	0.23
15:42:09.374	1479415329374	0.22
15:42:20.374	1479415340374	0.22
15:42:31.374	1479415351374	0.22
15:42:42.368	1479415362368	0.23
15:42:53.373	1479415373373	0.23
15:43:04.374	1479415384374	0.22
15:43:15.378	1479415395378	0.21
15:43:26.365	1479415406365	0.24
15:43:37.367	1479415417367	0.22
15:43:48.365	1479415428365	0.22
15:43:59.369	1479415439369	0.22
15:44:10.369	1479415450369	0.23
15:44:21.364	1479415461364	0.22
15:44:32.363	1479415472363	0.23
15:44:43.362	1479415483362	0.23
15:44:54.359	1479415494359	0.22
15:45:05.366	1479415505366	0.22
15:45:16.365	1479415516365	0.23
15:45:27.363	1479415527363	0.23
15:45:38.351	1479415538351	0.23
