1/28/2016,
12:25 PM,
Sampling Frequency:,10Hz 
Group:,TA
Extensometer:,E85191
Sample:,T0 Aluminum
Sample width [inch]:,0.494
Sample thickness [inch]:,0.119
--------,--------
,
Extensometer,Load
[Inches],[Lbs]
0,-0.2
0.00001,-0.2
0.00001,-0.2
0,0.2
0.00001,0.1
-0.00001,0.4
-0.00001,-0.1
0.00001,-1.1
-0.00001,0.1
-0.00001,0.3
-0.00002,-0.2
-0.00001,-0.4
0,0.9
-0.00001,0
0.00002,0.1
0,0.2
-0.00001,0.2
0.00001,0.9
-0.00001,0.7
-0.00001,0.3
-0.00001,-0.6
0,0.2
0,-0.8
0.00001,-0.5
0,0.7
0.00001,0.5
0.00001,-0.5
0.00001,0.3
-0.00001,0.1
0,-0.3
0,-0.2
0,0
0,-0.2
0,0.1
-0.00001,-0.8
0,-0.3
0.00001,-0.2
-0.00002,0
0,-0.5
0.00001,-1.3
0,0
-0.00001,0.7
-0.00001,0.5
-0.00002,-0.5
-0.00001,0
0.00001,0.6
-0.00001,0
0,-0.2
-0.00001,0
-0.00001,-0.1
-0.00001,0.5
-0.00002,1.4
-0.00002,-0.3
0,-0.2
-0.00002,0
-0.00001,0
0,-0.3
-0.00001,-1.1
-0.00002,-0.1
-0.00001,-0.8
0,0.3
0,-0.2
0.00001,-1
0.00001,0
0,0.5
0.00001,-0.5
0,0
0,-0.6
-0.00001,-0.5
0,-0.6
0.00001,0.6
0.00001,-0.1
-0.00001,-0.5
-0.00001,0
-0.00002,-0.3
-0.00002,0.8
-0.00002,-1.5
0,-0.3
-0.00001,-0.1
0,-0.6
0,-0.4
0,1
0.00001,0.2
0.00001,0.7
-0.00001,1.3
0.00001,1.1
-0.00002,1.7
0,1.6
-0.00001,1
0,1.5
0,3.1
0,3.2
0,3.1
0,3.1
0,3.9
0.00002,4.4
0,4.1
0.00003,5.3
0.00001,5
0.00003,5.2
0.00003,6
0.00003,5.8
0.00002,6
0.00002,6.5
0.00004,7.2
0.00005,7.7
0.00005,7
0.00004,7.8
0.00004,8.8
0.00006,7.8
0.00005,9.6
0.00005,10.2
0.00003,10.5
0.00003,10.7
0.00005,10.1
0.00002,10.5
0.00003,10.4
0.00003,10.9
0.00005,11.1
0.00006,11.3
0.00004,11.9
0.00007,11.9
0.00007,10.9
0.00008,12.5
0.00009,13.1
0.00009,13.4
0.00009,13.8
0.0001,14.2
0.00008,15.2
0.00011,14.4
0.00011,15.6
0.00011,16.5
0.00011,16
0.00012,16.4
0.00011,16.7
0.00012,18.1
0.00014,18.7
0.00015,19.3
0.00014,18.8
0.00015,19.8
0.00014,20.5
0.00015,20.3
0.00014,21.3
0.00014,21.8
0.00015,21.8
0.00016,22.9
0.00016,23.4
0.00016,24
0.00015,24.5
0.00017,26
0.00017,26.1
0.00017,26.6
0.00019,27.5
0.00018,27.9
0.0002,29.1
0.00019,27.9
0.0002,29.7
0.0002,30.7
0.0002,30.6
0.0002,31.7
0.00019,33.6
0.00021,33.2
0.00022,33.1
0.00022,34.1
0.00022,35.4
0.0002,35.6
0.00021,37
0.00023,37.5
0.00023,38
0.00022,39.4
0.00026,40.5
0.00024,41.3
0.00024,41.3
0.00026,42
0.00026,43.5
0.00025,44.4
0.00027,44.4
0.00026,45.9
0.00026,46.7
0.00027,48.3
0.00027,49.5
0.00027,49.1
0.00029,50.2
0.00029,51.4
0.0003,51.9
0.0003,52.8
0.00032,54.7
0.00032,55
0.00033,56.5
0.00032,57.8
0.00033,58.4
0.00034,58.8
0.00033,60.1
0.00034,61.6
0.00036,61.9
0.00035,62.9
0.00036,64.6
0.00036,66.5
0.00034,66.5
0.00035,67.3
0.00035,68.2
0.00038,70
0.00037,70.7
