2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00000,  -0.2
0.00001,  -0.4
0.00001,  -0.4
0.00001,   0.5
-0.00000,  -0.5
0.00001,  -0.2
0.00001,  -0.1
0.00000,   0.9
0.00000,   0.4
0.00000,   0.2
0.00001,   0.2
0.00000,   0.6
0.00001,  -0.3
0.00001,  -0.7
0.00001,   0.4
0.00002,  -0.6
0.00000,  -0.4
-0.00001,   0.1
-0.00001,   0.3
-0.00000,   0.8
0.00002,   0.2
0.00001,  -0.5
0.00001,  -0.4
-0.00002,   0.5
0.00001,  -0.8
0.00000,   0.7
0.00000,   0.1
0.00001,  -0.7
0.00000,   1.1
0.00000,  -0.1
-0.00001,   0.2
0.00001,  -0.6
0.00000,   0.1
0.00000,   0.6
0.00002,  -0.0
-0.00001,  -0.3
0.00000,  -0.8
0.00001,  -2.8
-0.00001,   1.1
-0.00000,   1.2
0.00001,   0.3
0.00001,   0.1
0.00001,   0.5
0.00002,   0.4
0.00000,  -0.3
-0.00001,  -0.4
-0.00001,   0.7
0.00001,   0.2
0.00001,  -0.7
0.00001,  -0.4
0.00000,  -0.0
-0.00000,   0.3
0.00000,  -0.5
-0.00000,   0.2
0.00000,  -0.1
0.00001,  -0.2
0.00000,   0.1
0.00001,   0.1
0.00001,   0.7
-0.00000,   0.7
0.00002,   0.0
0.00002,   1.1
0.00002,  -0.5
0.00000,  -0.9
0.00001,   0.2
0.00002,   0.3
0.00000,  -0.3
0.00002,  -0.0
0.00000,   0.9
0.00001,   0.3
0.00001,   0.5
0.00002,   1.5
0.00002,   0.2
0.00001,   1.5
-0.00001,   2.8
0.00001,   3.2
0.00001,   2.1
0.00001,   2.1
-0.00000,   3.3
0.00002,   3.2
0.00001,   4.1
0.00003,   4.2
0.00000,   3.0
0.00001,   3.3
0.00002,   3.1
0.00002,   3.0
0.00002,   3.4
0.00001,   3.8
0.00002,   3.6
0.00002,   3.6
0.00002,   4.0
0.00001,   3.5
0.00002,   3.9
0.00003,   3.4
0.00001,   3.1
0.00002,   3.4
0.00002,   4.7
0.00001,   3.1
