2/12/2016
3:45 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,T6 Aluminum
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00001,   0.3
-0.00000,  -0.8
-0.00001,  -0.6
0.00001,  -0.4
0.00001,  -0.5
0.00002,  -0.5
0.00002,  -0.9
0.00002,  -0.3
0.00001,   0.6
0.00002,   0.4
0.00000,   0.5
0.00001,   0.3
0.00001,   1.7
-0.00000,   0.8
0.00002,  -0.3
0.00000,   0.2
0.00001,  -0.4
0.00002,  -0.1
0.00000,  -0.8
0.00000,   0.2
0.00001,   1.0
0.00000,  -0.5
0.00000,  -0.6
0.00002,   0.7
0.00001,   0.2
0.00002,   0.6
0.00002,  -0.5
0.00002,   0.9
0.00001,  -1.3
0.00003,   0.3
0.00001,   0.2
0.00003,  -0.5
0.00002,  -1.0
0.00001,   1.1
0.00001,  -0.7
0.00003,   0.1
0.00002,  -0.8
0.00001,  -1.0
0.00003,  -0.7
0.00003,   0.0
0.00002,   0.0
0.00002,  -0.1
0.00001,   0.6
0.00001,  -0.8
0.00001,  -0.5
0.00003,  -0.1
0.00002,  -0.2
0.00003,  -0.6
0.00003,   0.4
0.00001,   0.4
0.00000,  -0.2
0.00003,  -0.2
0.00000,  -0.3
0.00002,  -0.6
0.00001,  -0.3
0.00001,  -0.2
0.00002,   1.3
0.00001,  -0.1
0.00002,   0.4
0.00002,   0.5
0.00003,   0.4
0.00001,  -0.3
0.00002,   0.0
0.00002,   0.5
0.00001,   0.8
0.00002,   1.7
0.00003,   2.5
0.00001,   3.7
0.00003,   3.2
0.00003,   4.2
0.00003,   6.0
0.00003,   4.6
0.00006,   4.5
0.00003,   7.2
0.00002,   6.7
0.00002,   6.8
0.00004,   7.4
0.00004,   6.8
0.00005,   6.9
0.00005,   6.8
0.00003,   6.1
0.00006,   6.9
0.00002,   6.9
0.00002,   7.6
0.00003,   7.8
0.00003,   7.9
0.00002,   7.8
0.00004,   7.9
0.00004,   7.6
0.00004,   7.6
0.00004,   8.0
0.00003,   7.9
0.00004,   7.8
0.00002,   7.6
0.00003,   7.7
0.00004,   7.9
0.00005,   7.0
0.00004,   6.6
0.00004,   7.5
